"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
4,6,2,6,2,4,4,5,7,7
1,5,0,2,3,0,3,5,2,5
2,3,4,3,4,3,3,4,4,8
7,8,1,9,3,7,5,7,12,11
1,2,3,1,1,1,1,1,1,2
1,4,2,1,4,4,2,4,6,11
1,5,1,3,5,2,5,3,3,7
1,6,1,2,3,3,2,3,7,5
3,10,2,9,3,8,2,7,8,8
4,4,1,5,3,5,3,4,5,7
8,5,4,6,3,6,4,5,12,11
3,8,3,5,5,9,5,7,8,9
3,7,1,4,5,4,5,6,5,12
1,2,1,2,2,1,1,2,2,3
1,3,3,3,2,4,4,6,10,10
12,12,5,18,12,16,8,18,24,23
4,9,9,6,7,6,7,10,14,12
0,2,1,3,2,1,1,1,3,5
2,1,1,0,1,1,1,2,4,2
2,2,1,1,2,1,1,1,4,2
6,9,2,7,5,2,4,8,10,15
2,6,1,2,7,1,5,8,2,9
1,3,1,6,5,4,3,6,5,13
9,10,6,18,7,12,4,11,26,17
6,7,8,7,8,9,3,9,14,14
0,4,1,1,2,0,1,2,0,6
1,6,1,1,5,0,3,8,4,8
9,11,5,11,11,9,7,13,13,17
1,3,2,2,4,4,1,5,5,8
5,18,7,7,15,6,12,17,18,30
15,16,11,15,15,21,5,17,29,25
3,5,3,7,5,4,2,10,7,11
4,5,1,5,0,3,3,0,8,1
6,11,6,12,13,12,7,13,15,25
4,3,2,5,3,7,0,5,8,6
8,13,9,17,13,13,6,15,20,25
8,8,9,12,7,9,5,9,15,16
19,26,10,25,21,22,19,28,47,43
6,9,2,10,9,7,4,13,14,17
1,3,1,3,5,3,1,6,6,10
4,4,3,3,7,4,4,8,8,8
3,6,5,5,2,6,3,1,7,2
6,11,7,12,4,8,6,5,13,12
2,5,2,3,4,4,3,5,6,8
3,3,0,4,0,1,4,2,4,2
2,3,2,3,1,4,5,1,6,7
1,2,2,4,2,6,1,3,6,2
9,13,6,7,13,12,8,12,18,21
3,4,3,4,1,3,2,2,7,4
3,3,2,3,2,5,3,4,9,6
4,5,3,6,5,6,4,4,7,10
4,10,3,4,10,4,4,15,7,17
4,7,3,8,5,10,5,7,10,13
2,1,2,1,0,2,2,2,5,2
5,5,4,12,5,12,6,9,18,16
2,3,2,1,2,3,2,5,4,9
0,3,0,1,3,1,1,4,2,7
2,5,3,5,3,2,2,3,7,7
3,7,4,4,8,4,5,9,8,12
3,1,4,2,1,3,0,0,7,3
3,6,1,4,3,3,3,4,4,5
1,8,2,1,3,5,4,1,8,5
0,3,2,2,3,7,3,3,8,5
3,10,2,6,10,3,7,10,7,18
11,23,7,14,15,14,11,27,33,43
1,7,3,3,5,4,4,8,5,10
3,3,2,6,5,7,4,8,7,9
4,7,5,4,5,3,5,5,5,9
2,6,0,4,5,3,2,7,7,10
1,6,1,2,4,3,1,4,4,6
4,7,4,6,4,3,1,9,5,10
2,0,1,4,4,4,0,5,5,7
1,4,1,1,2,3,2,1,4,3
2,2,1,4,1,5,1,1,5,2
1,3,0,2,0,2,0,0,3,1
0,3,1,1,2,1,2,2,4,3
0,1,0,1,0,4,0,0,5,0
0,2,0,1,1,5,1,1,5,2
3,7,2,6,1,2,4,3,6,6
1,5,0,1,0,1,2,1,1,1
0,6,0,1,4,2,4,3,3,7
4,6,2,2,4,6,3,6,10,8
9,7,10,10,6,12,4,8,18,12
4,9,6,6,10,8,4,10,11,17
1,3,3,2,2,3,0,1,5,3
0,1,2,3,1,3,0,4,5,4
2,2,4,5,1,3,0,2,10,3
0,4,0,0,2,0,0,5,0,8
2,6,1,5,5,3,2,5,4,6
3,5,3,5,3,4,2,5,7,7
4,4,4,4,4,4,4,5,11,5
9,19,7,15,14,13,6,28,32,45
4,13,3,6,10,7,6,16,11,14
2,11,2,3,8,6,2,8,7,13
2,1,1,2,4,3,1,5,5,6
0,0,0,1,0,1,1,2,2,4
3,3,2,2,3,3,3,5,5,6
1,4,2,2,2,1,2,2,4,4
6,9,3,8,6,6,5,7,16,13
2,3,1,0,1,2,2,1,3,5
1,5,2,1,8,3,3,6,6,13
7,6,4,13,6,10,4,5,15,9
2,3,0,3,0,3,1,4,5,3
4,4,2,2,2,3,2,1,6,3
2,3,2,2,0,3,0,5,4,1
2,7,2,2,5,3,2,7,7,7
1,2,1,1,1,2,1,3,2,4
2,3,1,1,1,3,3,2,6,8
5,8,4,7,7,5,1,5,13,9
6,10,4,7,7,7,4,11,10,12
0,4,2,1,2,2,1,3,2,7
1,8,1,5,7,2,5,7,5,13
1,3,3,1,1,2,2,1,4,3
2,3,1,5,3,5,5,2,5,6
4,7,1,5,6,4,4,4,9,13
1,5,1,1,3,1,2,5,1,7
0,4,1,2,2,3,1,3,4,4
2,7,1,4,2,3,1,8,9,8
1,1,1,3,0,1,0,0,3,0
2,3,0,3,1,2,0,0,3,3
1,2,0,1,0,0,1,5,2,4
1,5,2,1,3,2,1,2,3,4
3,4,1,3,1,1,2,1,4,2
4,7,3,9,6,8,1,10,11,12
10,20,9,13,13,9,10,18,21,28
2,6,2,3,3,6,1,7,8,10
1,5,2,2,1,4,0,4,5,5
2,5,1,5,5,4,2,3,6,11
4,7,4,7,2,8,4,4,12,6
5,6,4,6,1,2,6,1,9,5
5,9,2,6,6,6,4,9,10,11
3,7,4,5,1,6,3,0,13,7
1,2,0,2,1,0,4,1,4,2
1,7,3,2,7,1,2,7,3,13
3,16,4,16,11,12,5,18,17,24
1,4,0,1,1,2,2,1,2,2
0,2,0,0,2,0,0,4,1,6
8,4,4,10,2,9,3,8,17,11
5,7,3,7,4,7,1,4,12,7
0,3,1,0,1,0,0,3,2,4
0,2,0,0,1,2,0,1,2,1
0,3,3,0,2,1,0,4,3,4
1,3,0,3,2,2,2,3,3,5
2,6,3,4,7,3,6,7,8,14
1,1,0,2,1,1,0,5,3,4
1,3,2,4,1,3,0,2,6,2
2,6,2,3,6,5,3,7,10,16
0,1,0,1,1,2,1,4,4,6
48,46,38,66,40,50,23,67,102,96
1,2,0,1,2,2,0,4,5,7
4,1,2,6,0,4,1,0,6,2
8,5,4,12,4,7,3,6,16,11
7,16,8,10,8,13,4,16,20,21
2,9,1,5,11,5,3,11,9,13
0,2,0,0,0,2,0,3,3,5
3,1,2,2,0,3,0,0,8,3
0,2,0,2,1,0,1,1,1,2
1,5,0,2,2,1,3,3,2,9
2,3,1,4,2,5,2,5,8,6
4,8,4,5,7,4,4,8,7,13
7,6,3,8,3,6,5,4,12,7
2,4,3,6,3,4,1,7,8,9
2,5,2,5,4,4,4,7,6,7
1,1,0,2,1,3,0,2,2,3
0,3,0,1,3,0,1,1,2,7
15,22,13,19,22,24,14,23,45,43
10,18,7,15,10,19,6,23,34,40
1,6,2,3,4,4,0,5,8,8
4,2,2,3,1,2,2,1,6,4
3,3,2,4,2,3,3,3,9,6
1,10,2,7,5,11,7,5,13,12
1,3,0,4,4,4,1,5,5,10
16,16,11,17,13,20,8,23,28,27
1,3,1,7,1,6,2,3,11,6
2,5,1,4,2,2,3,1,6,3
0,2,0,1,2,2,1,2,2,2
4,10,5,9,11,8,9,11,10,18
1,4,1,2,6,5,4,6,7,10
3,2,1,4,1,2,1,4,4,6
1,0,1,2,1,2,0,1,7,2
1,3,2,4,1,3,2,5,5,5
0,2,1,1,2,2,0,3,4,3
2,5,1,5,3,5,1,2,10,7
1,6,3,3,3,4,3,7,6,9
5,5,2,4,4,6,4,5,14,8
1,4,3,2,2,2,2,1,2,4
4,5,2,5,6,5,3,6,8,9
1,1,1,3,2,0,0,4,1,4
4,3,4,6,4,10,2,2,11,7
2,5,2,3,2,3,3,3,5,5
6,3,3,6,3,4,3,2,10,6
3,4,4,4,4,4,4,6,3,10
2,3,1,4,2,4,0,7,4,5
3,6,1,6,1,4,1,3,6,1
3,4,2,8,2,4,3,4,8,6
13,14,9,15,10,7,7,14,24,25
5,7,6,8,5,8,4,7,17,10
3,5,1,1,4,3,1,3,5,11
1,4,1,1,3,1,3,6,2,5
6,6,5,6,3,8,1,4,15,5
1,3,1,1,3,1,1,5,1,5
4,6,5,5,3,5,5,3,7,9
3,4,4,4,1,2,0,4,4,6
3,4,0,2,2,4,1,1,5,3
0,5,1,0,2,0,2,3,3,6
3,10,2,4,6,4,2,5,5,6
2,5,3,2,2,4,0,3,5,3
4,8,4,11,10,4,8,13,11,17
7,6,6,6,2,4,2,3,10,6
4,5,3,5,2,3,3,6,7,7
7,6,4,5,5,5,2,7,10,9
0,6,1,1,2,5,0,2,4,2
7,16,6,14,13,17,11,12,28,33
4,3,3,5,0,1,0,2,7,2
3,2,0,3,1,1,2,2,3,5
5,1,4,4,2,4,1,3,8,5
2,8,2,6,5,6,4,10,12,12
1,1,1,1,3,0,1,3,3,3
1,3,4,4,4,4,4,5,4,11
3,5,1,3,5,2,1,9,3,10
8,8,7,8,5,10,4,9,16,16
4,6,3,7,7,7,4,9,12,17
1,5,1,2,5,4,1,2,5,10
4,7,2,6,7,3,4,7,9,13
5,2,3,6,3,6,3,3,9,9
